Product Name,Date/Time of Analysis,Sample ID,Instrument Serial Number,Predicted Dry matter %,Predicted Protein As is %,Predicted ICP As is %,Predicted ADF As is %,Predicted NDF As is %,Predicted Fat As is %,Predicted Ash As is %,Predicted Lignin As is %,Predicted NDFICP As is %,Predicted Insoluble impurities As is %,Predicted Sugar As is %,Predicted 24dNDFr As is %,Predicted 30dNDFr As is %,Predicted 48dNDFr As is %,Predicted Calcium As is %,Predicted Chlorine As is %,Predicted Potassium As is %,Predicted Magnesium As is %,Predicted Phosphorus As is %,Predicted Sulfur As is %,Lab,Warning
Hay,4/3/2023 2:02:26 PM,220032,1921614,89.48,27.91,0.97,18.88,28.98,2.08,9.29,2.04,1.03,20.8,12.63,18.36,14.77,6.73,1.28,0.21,2.43,0.31,0.33,0.28,No,
Hay,4/3/2023 2:01:06 PM,220023,1921614,89.91,27.24,0.74,19.37,26.39,1.98,9.81,2.46,0.04,19.45,12.85,19.54,16.49,9.21,1.33,0.61,2.55,0.26,0.31,0.27,No,
Hay,4/3/2023 1:59:24 PM,220022,1921614,89.47,27.31,0.82,19.81,26.52,1.99,9.96,2.53,-0.05,19.24,13.4,19.38,16.23,9.03,1.33,0.49,2.4,0.27,0.31,0.26,No,
Hay,4/3/2023 1:58:17 PM,220030,1921614,89.31,27.13,0.79,19.79,28,2.04,9.64,2.16,0.23,19.16,13.68,19.56,16.65,8.2,1.3,0.47,2.46,0.27,0.32,0.26,No,
Hay,4/3/2023 1:57:01 PM,220039,1921614,88.92,29.18,1.1,17.5,27.07,2.08,9.41,1.37,0.94,21.82,14.15,17.19,12.86,5.13,1.32,-0.23,2.16,0.31,0.33,0.28,No,Mahalanobis Distance Warning exceeded
Hay,4/3/2023 1:52:53 PM,220026,1921614,88.67,26.61,1.01,20.56,30.64,2.01,9.32,2.13,0.78,19.05,13.22,19.55,16.6,8.21,1.27,0.05,2.24,0.3,0.31,0.26,No,
Hay,4/3/2023 1:51:46 PM,220005,1921614,87.48,25.09,0.94,20.27,29.61,1.91,10.5,0.92,0.11,18.75,13.64,18.8,15.84,12.23,1.31,0.2,1.97,0.29,0.27,0.25,No,
Hay,4/3/2023 1:49:26 PM,220008,1921614,90.04,29.09,0.68,17.26,23.3,1.99,11.08,1.75,0.04,20.52,13.04,15.47,12.71,2.61,1.42,1.05,2.87,0.26,0.33,0.28,No,
Hay,4/3/2023 1:48:03 PM,220009,1921614,89.65,27.13,0.84,20.51,28.4,2.03,9.59,2.56,0.35,19.31,12.94,20.5,17.73,8.61,1.32,0.5,2.51,0.27,0.31,0.27,No,
Hay,4/3/2023 1:46:38 PM,220019,1921614,89.36,27.46,1.05,19.96,31.21,2.09,8.21,1.9,1.1,20.19,13.7,21.83,17.21,9.26,1.19,-0.44,2.39,0.3,0.33,0.27,No,Mahalanobis Distance Warning exceeded
Hay,4/3/2023 1:45:23 PM,220004,1921614,89.66,28.06,0.76,20.19,27.71,2.04,10.33,2.96,0.26,19.97,11.55,19.96,16.29,8.38,1.3,0.65,2.93,0.25,0.33,0.28,No,
Hay,4/3/2023 1:43:53 PM,220037,1921614,89.53,24.64,0.59,21.69,30.98,1.97,10.31,2.21,0.17,17.66,11.62,20.89,17.65,10.1,1.2,0.77,2.74,0.25,0.3,0.25,No,
Hay,4/3/2023 1:42:23 PM,220029,1921614,88.39,29.39,1.25,18.33,29.41,2.16,8.08,1.75,1.41,21.65,14.53,18.88,14.42,6.77,1.21,-0.8,2.17,0.32,0.34,0.28,No,Mahalanobis Distance Warning exceeded
Hay,4/3/2023 1:41:07 PM,220043,1921614,89.34,25.19,0.8,22.15,31.8,2.03,9.48,2.69,0.46,17.67,12.64,21.98,18.9,10.49,1.24,0.38,2.63,0.27,0.3,0.25,No,
Hay,4/3/2023 1:39:26 PM,220024,1921614,89.57,27.22,0.88,20.86,30.37,2.09,9.09,2.78,0.63,19.14,12.41,21.62,18.3,8.99,1.19,0.15,2.64,0.27,0.33,0.27,No,
Hay,4/3/2023 1:37:53 PM,220040,1921614,89.73,26.64,0.54,18.67,25.81,1.97,11.1,1.86,-0.06,19.61,11.43,17.31,14.31,7.15,1.38,1.25,2.95,0.26,0.31,0.27,No,
Hay,4/3/2023 1:36:35 PM,220033,1921614,88.38,29.8,1.09,17.19,25.5,2.08,9.67,0.45,0.66,22.83,13.99,16.98,12.84,8.66,1.4,-0.09,1.9,0.34,0.32,0.28,No,
Hay,4/3/2023 1:35:23 PM,220044,1921614,89.97,27.24,0.62,18.32,24.63,1.96,11,1.83,-0.13,20.19,11.96,16.53,13.87,6.82,1.41,1.12,2.53,0.28,0.3,0.27,No,
Hay,4/3/2023 1:34:03 PM,220007,1921614,89.66,25.32,0.77,21.22,31.48,1.94,10.28,2.07,0.66,18.61,11.67,19.72,16.97,7.48,1.26,0.83,2.5,0.27,0.3,0.26,No,
Hay,4/3/2023 1:28:57 PM,220000,1921614,87.22,23.35,1.19,24.6,36.74,1.85,9.72,1.08,0.98,18.33,12.42,22.61,19.24,16.91,1.22,-0.21,1.66,0.32,0.25,0.24,No,
Hay,4/3/2023 1:27:28 PM,220006,1921614,89.79,26.77,0.72,20.71,27.85,1.96,10.97,2.48,0.16,18.99,11.44,18.59,16.04,7.57,1.39,1.12,2.73,0.27,0.31,0.27,No,
Hay,4/3/2023 1:26:08 PM,220027,1921614,88.09,26.5,0.9,20.27,28.16,1.98,10.52,1.17,-0.02,18.55,13.68,18.48,16.56,9.36,1.34,0.51,2.22,0.29,0.29,0.25,No,
Hay,4/3/2023 1:24:09 PM,220028,1921614,90.38,28.54,0.79,18.3,26.13,2.04,9.41,2.05,0.52,21.89,11.41,19.07,15.12,8.51,1.3,0.17,2.52,0.28,0.33,0.29,No,
Hay,4/3/2023 1:15:29 PM,220035,1921614,88.35,28.68,0.99,18.99,27.79,2.07,9.77,1.82,0.63,20.86,13.11,19.05,15.27,8.33,1.25,-0.04,2.56,0.28,0.33,0.27,No,
Hay,4/3/2023 1:14:14 PM,220020,1921614,89.72,27.23,0.67,19.41,26.17,1.96,11.08,2.61,0.03,19.47,11.44,17.18,15.09,6.65,1.4,1.09,2.72,0.28,0.31,0.27,No,
Hay,4/3/2023 1:12:39 PM,220047,1921614,88.57,26.89,0.7,19.25,27.67,2,11.08,1.19,0,19.62,12.29,18.54,15.57,9.56,1.29,0.78,2.65,0.26,0.31,0.27,No,
Hay,4/3/2023 1:11:12 PM,220046,1921614,89.35,25.98,0.59,19.76,28.01,1.97,10.47,1.66,-0.21,18.38,12.3,20.23,17.07,10.18,1.24,0.77,2.8,0.24,0.31,0.26,No,
Hay,4/3/2023 1:09:55 PM,220042,1921614,87.61,27.63,1.05,20.67,29.46,2.06,9.64,1.05,0.32,19.65,14.09,20.79,17.26,12.15,1.27,-0.2,2.22,0.29,0.31,0.26,No,
Hay,4/3/2023 1:08:08 PM,220013,1921614,89.95,26.15,0.67,20.08,29.32,1.95,10.15,2,0.17,18.5,12.24,20.41,17.48,8.71,1.18,0.58,2.73,0.24,0.31,0.26,No,
Hay,4/3/2023 1:06:32 PM,220036,1921614,89.9,28.75,0.85,18.94,29.21,2.05,10.2,1.98,0.9,20.79,11.86,19.57,15.75,4.23,1.21,0.51,3.08,0.26,0.36,0.28,No,
Hay,4/3/2023 1:05:18 PM,220003,1921614,89.21,26.84,0.78,20.45,29.29,1.98,10.41,2.28,0.22,18.45,12.45,20.3,17.69,8.22,1.27,0.85,2.64,0.25,0.31,0.26,No,
Hay,4/3/2023 1:04:09 PM,220041,1921614,89.04,30.49,1.03,17.83,28.17,2.13,9.75,1.55,1.3,22.49,12.01,18.43,13.75,3.65,1.26,0.08,2.89,0.29,0.37,0.29,No,Mahalanobis Distance Warning exceeded
Hay,4/3/2023 1:02:54 PM,220038,1921614,88.43,27.12,0.94,20.26,30.29,2.08,9.25,1.09,0.32,19.25,13.07,22.25,18.76,11.72,1.18,-0.18,2.36,0.28,0.32,0.26,No,Mahalanobis Distance Warning exceeded
Hay,4/3/2023 1:01:29 PM,220034,1921614,89.65,26.16,0.87,22.07,31.19,1.96,9.16,2.77,0.44,18.36,12.29,23.27,19.64,10.99,1.19,0.1,2.63,0.25,0.32,0.26,No,
Hay,4/3/2023 12:59:24 PM,220014,1921614,89.78,27.22,0.88,20.25,29.14,2.01,9.23,2.45,0.37,19.02,12.68,21.52,18.53,8.83,1.22,0.17,2.47,0.27,0.33,0.26,No,
Hay,4/3/2023 12:58:07 PM,220018,1921614,89.99,28.39,0.73,18.06,25.69,1.96,10.77,1.78,0.48,20.83,11.28,17.69,14.19,4.95,1.3,0.5,2.86,0.27,0.34,0.28,No,
Hay,4/3/2023 12:56:49 PM,220031,1921614,89.33,26.57,0.64,19.77,27.29,1.99,10.95,1.6,-0.26,18.62,11.81,19.55,17.46,8.68,1.27,0.9,2.78,0.26,0.31,0.27,No,
Hay,4/3/2023 12:55:26 PM,220016,1921614,88.72,27.66,0.87,19.53,28.89,2.03,10.32,1.36,0.57,20.53,12.23,18.83,15.3,7.64,1.29,0.33,2.49,0.31,0.31,0.27,No,
